Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
42.0,42.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
40.0,40.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0
40.0,43.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
37.5,40.0,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
39.0,42.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
42.0,42.0,37.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-4.5
38.0,41.0,38.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
39.0,42.0,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0
40.0,42.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
40.0,42.0,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
41.0,43.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
41.0,43.0,41.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
43.0,43.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0
39.0,41.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
40.0,40.0,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0
37.5,37.5,33.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-2.5
35.0,37.5,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0
36.0,37.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
36.0,38.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
35.0,37.0,35.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
36.0,38.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0
35.0,35.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0
34.5,35.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.5
